Language,,RUSSIAN,ENGLISH,TURKISH,SPANISH,GERMAN
Hub_Afk,,AFK Зона,AFK Zone,AFK Bölgesi,Zona AFK,AFK-Zone
Hub_Shop_Name,,ТОРГОВЕЦ,DEALER,SATICI,DISTRIBUIDOR,HÄNDLER
Hub_DISASTERS,,КАТАСТРОФЫ,DISASTER,FELAKET,DESASTRE,KATASTROPHE
AfkZone_Title,,Получи НАВСЕГДА за нахождение в AFK Зоне,Get FOREVER for being in the AFK Zone,AFK Bölgesinde olduğunuz için sonsuza kadar kazanın,Obtén PARA SIEMPRE por estar en la Zona AFK,"Erhalten Sie für immer, wenn Sie in der AFK-Zone sind"
BoxingGloves_Title,,БОКСЕРСКИЕ ПЕРЧАТКИ,BOXING GLOVES,BOKS ELDİVENLERİ,GUANTES DE BOXEO,BOXHANDSCHUHE
BoxingGloves_Win,,ПОБЕДИТЬ,WIN,KAZANÇ,GANAR,GEWINNEN
,,,,,,
Disaster_Dessert,,Пустыня,Desert,Çöl,Desierto,Wüste
Disaster_FireExport,,Пожар,Fire,Ateş,Fuego,Feuer
Disaster_Flood,,Потоп,Flood,Sel basmak,Inundación,Flut
Disaster_Tornado,,Торнадо,Tornado,Kasırga,Tornado,Tornado
Disaster_Sandstorm,,Песчаная буря,Sandstorm,Kum fırtınası,Tempestad de arena,Sandsturm
Disaster_MeteorShower,,Метеоритный дождь,Meteor shower,Meteor yağmuru,Lluvia de meteoritos,Meteorschauer
Disaster_SnowAvalanche,,Снежная лавина,Snow avalanche,Kar çığı,Avalancha de nieve,Schneelawine
Disaster_AcidRain,,Ядовитый дождь,Poison Rain,Zehir Yağmuru,lluvia venenosa,Giftregen
Disaster_Earthquake,,Землетрясение ,Earthquake ,Deprem ,Terremoto ,Erdbeben 
Disaster_Thunderstorm,,Гроза ,Thunderstorm,Fırtına ,Tormenta ,Sturm 
Disaster_VolcanicEruption,,Вулканическое извержение,Volcanic eruption,Volkanik patlama,erupción volcánica,Vulkanausbruch
,,,,,,
Disaster_SnowAvalanche_Title,,"Грейся у костров, чтобы не замерзнуть",Warm yourself by the fires to stay warm,Sıcak kalmak için ateşlerin yanında kendinizi ısıtın,Caliéntate junto al fuego para mantenerte caliente,"Wärmen Sie sich am Feuer, um warm zu bleiben"
Disaster_Finish,,Добеги до финиша,Run to the finish line,Bitiş çizgisine koşun,Corre hasta la meta,Laufen Sie bis zur Ziellinie
Disaster_Survive,,Выживи,Survive,Hayatta kalmak,Sobrevivir,Überleben
Disaster_Hub_Title,,ХАБ,HUB,MERKEZ,CENTRO,NABE
,,,,,,
Lose_Rerun,,ЗАНОВО,AGAIN,TEKRAR,DE NUEVO,WIEDER
Lose_Skip_Button,,ПРОПУСТИТЬ,SKIP,ATLAMAK,SALTAR,ÜBERSPRINGEN
Lose_Title,,Поражение,Defeat,Yenmek,Fracaso,Verlust
Winner_Title,,Победа!!!,Victory!!!,Zafer!!!,¡¡¡Victoria!!!,Sieg!!!
Winner_ToHub,,НАЗАД В ХАБ,BACK TO THE HUB,MERKEZE GERİ DÖN,VOLVER AL CENTRO,ZURÜCK ZUM HUB
Winner_CONTINUE,,ПРОДОЛЖИТЬ,CONTINUE,DEVAM ETMEK,CONTINUAR,WEITERMACHEN
,,,,,,
Disaster_AcidRain_Title,,Прячься под крышами!,Hide under the roofs!,Çatıların altına saklanın!,¡Escóndete bajo los tejados!,Versteck dich unter den Dächern!
Disaster_Thunderstorm_Title,,"Меняй стороны, чтобы молния тебя не достала",Switch sides so the lightning doesn't get you,Şimşek sizi yakalamasın diye taraf değiştirin,Cambia de lado para que el rayo no te atrape,"Wechsle die Seiten, damit dich der Blitz nicht erwischt"
